OBJECTID,Park Name,Park ID,Latitude,Longitude,Year Established,Acres,Days Open,Operating Hours,Phone Number,Website,Address,Restroom Available,Community Center Available,Natrure Center Available,ADA Accessible,Concessions Available,Dog Park Available,Baseball Fields Available,Basketball Available,Mountain Biking Available,Boating Available,Camping Available,Disc Golf Course Available,Fishing Available,Golf Course Available,Hiking Available,Historic Site,Horseback Riding Available,Lake Available,Picnic Shelters Available,Number of Shelters Available,Playground Available,School Site,Soccer Fields Available,Spray Park Available,Skate Park Available,Swimming Pool Available,Tennis Courts Available,Walking/Jogging Available,Email,Description,Status,Volleyball Available,Football/Multi-Purpose Available,Canoe Launch Available,Community Garden Available,Common Name,Park Classification,City,State,Zip Code,GlobalID
142220,Harpeth River Park,PARK_169,36.07738249,-86.9592214,1988,69.86,Daily,Dawn to 11 pm,(615) 797-6096,http://nashville.gov/Parks-and-Recreation/Parks.aspx,7820 Coley Davis Rd,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,Yes,No,No,No,No,Yes,metroparks@nashville.gov,"Harpeth River State Park has much historical and archeological significance; there is an ancient Indian Ceremonial Center, Newsom's Mill ruins, and the old Montgomery Bell Ironworks. There are also plenty of recreational options, such as boating, kayaking and canoeing, fishing, hiking, and picnic tables with grills. ",PARK,No,Yes,Yes,No,Harpeth River Park,Specialty,Nashville,TN,37221,dc4f081c-31e8-41e0-8d56-b981900a44f6
142221,Harpeth Knoll Park,PARK_44,36.05942777,-86.93815537,1972,9.88,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,708 Goodpasture Terrace,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Huge grassy field with playground, and shade structure in the summer.",PARK,No,No,No,No,Harpeth Knoll Park,Neighborhood,Nashville,TN,37221,091033af-10f8-433c-876b-c789dee970fc
142222,Bellevue Park,PARK_49,36.07159731,-86.93354496,1982,17.14,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Community-Centers-and-Recreation/Neighborhood-Recreation-Centers.aspx,656 Colice Jeanne Rd,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Bellevue Park, known as Red Caboose Park, is perfect for picnicking and family fun. There are picnic tables under gazebos, wide open grassy spaces for casual sport, a fully-fenced in playground, an amphitheater and a paved exercise path (five laps to a mile). ",PARK,No,No,No,No,Red Caboose Park,Neighborhood,Nashville,TN,37221,506a7c23-64a3-4e9a-b9d8-be4b4e1006db
142223,Bells Bend Park,PARK_50,36.15016925,-86.92646294,2007,809.59,"Daily, Center: Tuesday -Saturday",Dawn to Dusk,(615) 862-4187,http://www.nashville.gov/Parks-and-Recreation/Nature-Centers-and-Natural-Areas/Bells-Bend-Outdoor-Center.aspx,4187 Old Hickory Blvd,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,0,No,No,No,No,No,No,No,Yes,bellbend@nashville.gov,"Located in western Davidson County, this park takes its name from a peaceful arc of the Cumberland River known as Bells Bend. This rural preserve is defined by its agricultural history, its bountiful opportunities for viewing wildlife, and a landscape shaped by the river. This 808 acre pastoral park opened to the public in 2007 and supports habitat for plants, migratory birds, and other wildlife. Bells Bend Park offers Nashville residents and visitors access to a unique three-fold experience: cultivating knowledge of the natural world, developing outdoor recreation skills, and understanding cultural impacts upon the land. With a vast history spanning all time periods, this is Nashville's most archaeologically significant park. The outdoor center serves as the trailhead for almost six miles of hiking trails and provides programs for numerous user groups on a wide variety of topics.",PARK,No,No,No,No,Bells Bend Park,Regional,Nashville,TN,37218,5bf61379-8a08-47cd-bb13-4c06655a8d11
142224,Alvin G. Beaman Park,PARK_88,36.26075833,-86.91984207,1996,2170.89218629,"Daily, Center: Tuesday -Saturday",Dawn to 11 pm,(615) 299-9586,http://nashville.gov/Parks-and-Recreation/Nature-Centers-and-Natural-Areas/Bells-Bend-Outdoor-Center.aspx,5911 Old Hickory Blvd. and 4111 A & B Little Marrowbone Rd,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Beaman Park provides education and awareness programs, interpretive hikes, trail building workdays, exotic pest plant removal, and native planting programs. Early land use included homesteads, farming, orchards, logging and even moonshining. In the 1970s, a group of doctors called the Blueberry Hill Partners used the land as a hunting preserve. In 1996, the Partners sold their preserve to the Metro Nashville government via a generous gift from Mrs. Sally Beaman in honor of her husband, Alvin G. Beaman, who served on the Park Board from 1955 to 1963 and was a prominent Nashville businessman and civic leader. Beaman Park is the largest single gift of land in the history of the Metro Nashville Parks Department.",PARK,No,No,No,No,Beaman Park,Regional,Joelton,TN,37080,62a069cc-8f0f-4f70-b8c8-789620680298
142225,Edwin Warner Park,PARK_43,36.05688279,-86.9074396,1937,1113.12,"Daily, Center: Tuesday -Saturday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks/Warner-Parks.aspx,50 Vaughn Rd,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,13,Yes,No,Yes,No,No,No,No,Yes,metroparks@nashville.gov,"Edwin Warner Park is a great, multi-recreational facility with picnic areas, hiking trails, horse trails, golf courses, athletic fields, and is among the historical community. ",PARK,No,Yes,No,No,Edwin Warner Park,Regional,Nashville,TN,37221,a540d25d-369f-45de-9488-bb11af200d51
142226,H. G. Hill Park,PARK_63,36.13619596,-86.88757407,2012,8.53,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,6710 Charlotte Pike,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"H.G. Hill Park is a small, friendly park with picnic tables; a place where people can unwind. There is also a replica of James Robertson's home. ",PARK,No,No,No,No,H. G. Hill Park,Neighborhood,Nashville,TN,37209,04245132-b082-4c56-b506-21cfc8b544a5
142227,Percy Warner Park,PARK_41,36.06729215,-86.88419854,1926,1991.56,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks/Warner-Parks.aspx,7311 Hwy 100,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,12,No,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Percy Warner Park is 2684 acres of forest and field, with an equestrian center, horse trails, hiking, picnic areas, cross country running courses, gold courses, athletic fields, and is historically significant to Nashville, TN. ",PARK,No,No,No,No,Percy Warner Park,Regional,Nashville,TN,37221,b74a7455-d095-499a-9088-17613066da89
142228,Charlotte Park,PARK_25,36.15454327,-86.87070668,1964,25.24,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,6031 Deal Ave,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"A nice, family oriented park. ",PARK,No,No,No,No,Charlotte Park,Community,Nashville,TN,37209,ee1f8bcb-9fe6-4236-a5ef-9041d1ef4a5e
142229,Joelton Park,PARK_1,36.31718158,-86.87022094,1989,18.38,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,21 Joelton Community Center Rd,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,Yes,No,No,No,Yes,Yes,metroparks@nashville.gov,"Joelton Park is a multi-recreational park with many baseball diamonds, a soccer field, tennis courts, a playground, and a place for picnicking. ",PARK,No,Yes,No,No,Joelton Park,Neighborhood,Joelton,TN,37080,ef29a139-9d38-4838-b1cf-8f641368c571
142230,West Park,PARK_75,36.16149934,-86.86421695,1952,33.45,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8469,http://nashville.gov/Parks-and-Recreation/Parks.aspx,6105 Morrow Road,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"West Park features an ADA approved Tee-Ball field, basketball court, and a playground.",PARK,No,No,No,No,West Park,Community,Nashville,TN,37209,b08d8adb-c934-49e6-b622-ecf4c1e38ed0
142231,Paradise Ridge Park,PARK_174,36.3434429,-86.86115896,2013,98.41,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Planning-and-Development/Park-Plans-and-Projects.aspx,3000 Morgan Rd,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Paradise Ridge Park has a playground and swingset, walking trail. ",PARK,No,Yes,No,No,Paradise Ridge Park,Community,Joelton,TN,37080,0a6a7f61-a3c9-4a10-8011-20da23e58bb5
142232,Parmer Park,PARK_70,36.10405728,-86.86016567,1988,8.39,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,300 Leake Ave.,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Parmer Park is the location of the late Parmer school. Now, there are basketball courts, playground, a baseball diamond, walking paths, and lots of grassy area. ",PARK,No,No,No,No,Parmer Park,Neighborhood,Nashville,TN,37205,de69b89b-7ebc-479f-878a-ffe602ba2620
142233,England,PARK_109,36.15637551,-86.8550499,2014,11.25,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,811 Delray Dr,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Stetch of grass and trees, hugging a creek. ",PARK,No,No,No,No,England Park,Neighborhood,Nashville,TN,37209,a75f8321-c591-4adf-b48b-be63448b1db6
142234,Joseph Brown Mullins Park,PARK_89,36.20718337,-86.85206132,2012,112.35,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4297 Drake Wood Lane,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,No,No,No,No,No,No,No,Yes,metroparks@nashville.gov,Mullins Park is a naturalized area with milkweed and great bird watching. There is a paved walking trail and picnic shelter available.,PARK,No,No,No,No,Mullins Park,Community,Nashville,TN,37218,396c751b-d10c-4847-93e4-d4e3f5df6338
142235,McCabe Park,PARK_32,36.13921612,-86.84704746,1938,208.98,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4601 Murphy Rd,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,McCabe Park has a 27-hole golf course and is located next to the McCabe Community Center. The Richland Creek Greenway runs along the side the park. ,PARK,No,No,No,No,McCabe Park,Community,Nashville,TN,37209,4dd438f5-16be-4900-8fe8-1eb123a7dfd3
142236,Richland Park,PARK_27,36.15152935,-86.84463771,1907,9.98,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4601 Charlotte Pike,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,1,Yes,No,No,No,No,No,Yes,No,metroparks@nashville.gov,"Richland park has wide open, grassy fields, tennis courts, and a playground. ",PARK,No,Yes,No,No,Richland Park,Neighborhood,Nashville,TN,37209,fd31da01-306d-45de-9fc1-d647472081c4
142237,Bordeaux-Timothy Drive Park,PARK_5,36.21440194,-86.84350613,1980,16.81,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4100 Timothy Dr,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Bordeaux Timothy Park is a wonderful neighborhood park; there is a playground, basketball court, a baseball field, and a tiny trail loop (just over three times around is a mile). ",PARK,No,No,No,No,Bordeaux-Timothy Park,Neighborhood,Nashville,TN,37218,65614923-52c0-48d7-9530-6c867d44ebe2
142238,Bordeaux Garden Park,PARK_92,36.17850183,-86.83914775,1964,12.26,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,"Snell Blvd, at Panorama Dr",No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Bordeaux Gardens Park is a multi-facility area with big, grassy fields and sporting accommodations. ",PARK,No,No,No,No,Bordeaux Garden Park,Neighborhood,Nashville,TN,37218,c4c54819-4cfe-4ddd-8d9c-71fe1cc70866
142239,Woodmont Park,PARK_77,36.11865895,-86.83532056,1988,3.24,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,912 Estes Rd,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Woodmont Park is a wonderful park to bring kids; there is a sandbox, playground, tennis courts, basketball courts, and a walking loop. ",PARK,No,No,No,No,Woodmont Park,Neighborhood,Nashville,TN,37215,63c33ba8-db1a-41f4-b4b9-634dd8bfe088
142240,R. H. Boyd - Preston Taylor Park,PARK_51,36.15925167,-86.83256812,1947,11.28,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3900 Clifton Ave,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Boyd Park has a playground, picnic tables, and a walking path. ",PARK,No,No,No,No,Boyd -Taylor Park,Neighborhood,Nashville,TN,37209,73bee292-2e6a-4b7a-bf1c-d05c429ec2e0
142241,Richard W. Hartman Park,PARK_6,36.20874602,-86.82746781,1964,54.2,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,2801 Tucker Rd,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,Yes,Yes,Yes,metroparks@nashville.gov,"Located next to the Hartman Community Center, with many recreational facilities and a pool. ",PARK,No,No,Yes,No,Hartman Park,Community,Nashville,TN,37218,2667281f-2558-49a9-8d04-f8a199f00e91
142242,Elmington Park,PARK_35,36.1335684,-86.82402056,1927,13.07,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3531 West End Ave,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,0,Yes,No,No,No,No,No,Yes,No,metroparks@nashville.gov,"Elmington Park is a great hangout park with a big, grassy field where many people throughout the community come and play. There are athletic field, tennis courts a playground.",PARK,No,Yes,No,No,Elmington Park,Neighborhood,Nashville,TN,37205,caac8525-4882-4ef7-bc68-2fa97071fd3e
142243,Hadley Park,PARK_19,36.16553119,-86.82242669,1912,30.7,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8451,http://nashville.gov/Parks-and-Recreation/Community-Centers-and-Recreation/Neighborhood-Recreation-Centers.aspx,1037 28th Ave North,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,2,Yes,No,No,No,No,Yes,Yes,Yes,metroparks@nashville.gov,"Located next to the Hadley Park Library, it has much to offer; a community center, recreational sports fields, fitness center, picnic areas, playground, tennis courts, and a pool. ",PARK,No,No,No,No,Hadley Park,Community,Nashville,TN,37209,33536c87-88db-4816-b213-6a33e98f5a2f
142244,Ted Rhodes Park,PARK_7,36.1905823,-86.82113034,1954,261.17,Daily,Dawn to 11 pm,(615) 862-8463,http://nashville.gov/Parks-and-Recreation/Golf-Courses/Ted-Rhodes-Golf-Course.aspx,1901 Ed Temple Blvd,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,No,No,Yes,No,No,No,Yes,No,metroparks@nashville.gov,"18 hole golf course, soccer complex, tennis courts",PARK,No,Yes,No,No,Rhodes Park,Specialty,Nashville,TN,37208,f18be74e-eb59-48ec-bb0a-981a8aab7bc2
142245,Whites Creek Park,PARK_2,36.27491809,-86.81879337,1978,19.7,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,7277 Old Hickory Blvd,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,Yes,No,metroparks@nashville.gov,"Whites Creek Park has big, grassy fields, including a Cricket Field and baseball fields. ",PARK,No,Yes,No,No,Whites Creek Park,Neighborhood,Whites Creek,TN,37189,840fa618-a76b-4ce8-b416-af6b1ed772f8
142246,McKissack Park,PARK_24,36.15773702,-86.81795909,1969,1.5,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,28th Ave and Torbett St,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Small, grassy park with basketball court and playground. ",PARK,No,No,No,No,McKissack Park,Pocket,Nashville,TN,37209,c783c1ea-1251-45ce-8d5c-adc50962a980
142247,Clinton B. Fisk Park,PARK_166,36.17482056,-86.81664226,1983,7.36,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,2410 Burch St,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Fisk Park is beautiful park nestled between 25th Avenue and Burch Street. There are many big trees with paved paths, grassy ball fields, basketball court, a playground, picnic area, and exercise stations.",PARK,No,No,No,No,Fisk Park,Neighborhood,Nashville,TN,37208,5a999a4e-1553-4173-9dff-91a2eab011fe
142248,Centennial Park,PARK_26,36.14940046,-86.8134032,1903,125.14,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks/Centennial-Park.aspx,2500 West End Ave,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,2,Yes,No,No,No,No,Yes,Yes,Yes,metroparks@nashville.gov,"The most famous feature of Centennial Park is a replica of the Parthenon. But there are many other attractions like Lake Watauga, historical monuments, a sunken garden, open fields, walking and exercise trails. There are also events and festivals held at the Events Shelter or other locations through the park, as well as programs at the Centennial Art Center and Activity Center. Hidden are volleyball courts, two dog parks, and under the Parthenon lies a museum which many visit each year. ",PARK,Yes,No,No,No,Centennial Park,Signature,Nashville,TN,37203,a2a6f7aa-d2cd-46f3-9710-0577dc62b3c5
142249,Sally Beaman,PARK_161,36.11057744,-86.80866247,1999,1.53,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3701 Benham Avex,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,Yes,metroparks@nashville.gov,Quiet area next to Green Hills Library. ,PARK,No,No,No,No,Sally Beaman Park,Pocket,Nashville,TN,37215,b82c3b21-935d-410e-9443-5c9e4dd37746
142250,Fannie Mae Dees Park,PARK_34,36.13681838,-86.80630511,1978,7.65,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,2400 Blakemore Ave,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,Yes,No,No,No,No,No,Yes,No,metroparks@nashville.gov,"Also knows as Dragon Park, very suitable for small children and family events. There are many different playgrounds and grassy areas for fun, as well as tennis courts and multiple shaded picnic areas.",PARK,No,No,No,No,Dragon Park,Neighborhood,Nashville,TN,37232,eacef1b3-7b91-42b6-8ade-d7f59f77733c
